利用日,利用店名・商品名,利用者,支払方法,利用金額,支払手数料,支払総額,1月支払金額,2月繰越残高,新規サイン,支払月
,ｲﾜﾃﾞﾈｺﾞﾛﾎﾝ ﾜｶﾔﾏｷﾀ,,,,,,,,,2024年2月
2024/1/3,ｱﾂﾌﾟﾙﾄﾞﾂﾄｺﾑ,本人,1回払い,1680,0,1680,1680,0,*,2024年2月
2024/1/2,ＥＴＣカード売上,ETC,1回払い,1270,0,1270,1270,0,*,2024年2月
,ｶﾜﾍﾞ       ﾜｶﾔﾏ,,,,,,,,,2024年2月
2024/1/1,ＥＴＣカード売上,ETC,1回払い,1270,0,1270,1270,0,*,2024年2月
,ﾜｶﾔﾏ       ｶﾜﾍﾞ,,,,,,,,,2024年2月
2023/12/29,ｂｅｔｔｅｒ　ｌｉｆｅ,家族,1回払い,3048,0,3048,3048,0,*,2024年2月
2024/3/4,ＥＴＣカード年会費／２５年０２月迄,本人,1回払い,550,0,0,0,0,*,2024年3月
,割引,,,-550,,,,,,2024年3月
2024/2/28,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,541,0,541,541,0,*,2024年3月
2024/2/28,ｾﾘｱ ｼﾃｲﾜｶﾔﾏﾃﾝ,家族,1回払い,660,0,660,660,0,*,2024年3月
2024/2/28,ﾏﾂｹﾞﾝ ﾓﾄﾃﾞﾗ,家族,1回払い,2740,0,2740,2740,0,*,2024年3月
2024/2/28,ｻﾝﾄﾞﾗﾂｸﾞ,家族,1回払い,2921,0,2921,2921,0,*,2024年3月
2024/2/28,ｱﾂﾌﾟﾙﾄﾞﾂﾄｺﾑ,本人,1回払い,980,0,980,980,0,*,2024年3月
2024/2/27,ﾁﾕｳｼﾝﾔ ｱｼﾔｷﾞ ｴｱｰ,家族,1回払い,9290,0,9290,9290,0,*,2024年3月
2024/2/24,SHEIN.COM利用国SGP,家族,1回払い,3568,0,3568,3568,0,*,2024年3月
,現地利用額　　　　　　３５６８．０００変換レート　　　１．０００円,,,,,,,,,2024年3月
2024/2/24,ｷﾝﾃﾂﾋﾔﾂｶﾃﾝ,家族,1回払い,2156,0,2156,2156,0,*,2024年3月
2024/2/21,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,2643,0,2643,2643,0,*,2024年3月
2024/2/21,NINTENDO CD115801735利用国JPN,本人,1回払い,306,0,306,306,0,*,2024年3月
,現地利用額　　　　　　　３０６．０００変換レート　　　１．０００円,,,,,,,,,2024年3月
2024/2/20,サイフ工房　ＡＮＤＯＵ,家族,1回払い,4180,0,4180,4180,0,*,2024年3月
2024/2/18,ﾜｶﾔﾏｼﾐﾝｾｲｷﾖｳ ﾃﾝﾎ,家族,1回払い,4156,0,4156,4156,0,*,2024年3月
2024/2/17,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,1136,0,1136,1136,0,*,2024年3月
2024/2/17,NINTENDO CA115542756利用国JPN,本人,1回払い,240,0,240,240,0,*,2024年3月
,現地利用額　　　　　　　２４０．０００変換レート　　　１．０００円,,,,,,,,,2024年3月
2024/2/17,マツキヨキーノ和歌山店,家族,1回払い,1608,0,1608,1608,0,*,2024年3月
2024/2/17,大阪ガス　　料金,本人,1回払い,8386,0,8386,8386,0,*,2024年3月
2024/2/16,SHEIN.COM利用国SGP,家族,1回払い,2108,0,2108,2108,0,*,2024年3月
,現地利用額　　　　　　２１０８．０００変換レート　　　１．０００円,,,,,,,,,2024年3月
2024/2/13,ｱﾂﾌﾟﾙﾄﾞﾂﾄｺﾑ,本人,1回払い,1680,0,1680,1680,0,*,2024年3月
2024/2/12,大東建託パートナーズ,家族,1回払い,13145,0,13145,13145,0,*,2024年3月
2024/2/12,大東建託パートナーズ,家族,1回払い,90753,0,90753,90753,0,*,2024年3月
2024/2/10,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,1556,0,1556,1556,0,*,2024年3月
2024/2/10,ﾏﾂｹﾞﾝ ﾓﾄﾃﾞﾗ,家族,1回払い,235,0,235,235,0,*,2024年3月
2024/2/7,ﾀｲﾑ ｴｱｰ,家族,1回払い,10350,0,10350,10350,0,*,2024年3月
2024/2/7,ﾛﾂｸｽﾀ-ﾌｱ-ﾑｽﾞ,家族,1回払い,2512,0,2512,2512,0,*,2024年3月
2024/2/7,楽天ブロードバンド,本人,1回払い,4241,0,4241,4241,0,*,2024年3月
2024/2/4,マツキヨキーノ和歌山店,家族,1回払い,3110,0,3110,3110,0,*,2024年3月
2024/1/21,ＥＴＣカード売上,ETC,1回払い,580,0,580,580,0,*,2024年3月
,ﾌｶｴ        ｷﾖｳﾊﾞｼﾆｼﾃ,,,,,,,,,2024年3月
2024/1/21,ＥＴＣカード売上,ETC,1回払い,1320,0,1320,1320,0,*,2024年3月
,ｽﾐﾖｼﾊﾏ     ｲｽﾞﾐｻﾉﾐﾅﾐ,,,,,,,,,2024年3月
2024/1/21,ＥＴＣカード売上,ETC,1回払い,1320,0,1320,1320,0,*,2024年3月
,ｲｽﾞﾐｻﾉﾐﾅﾐｲ ﾌｶｴﾊﾏﾆｼﾃﾞ,,,,,,,,,2024年3月
2024/1/17,ＥＴＣカード売上,ETC,1回払い,1430,0,1430,1430,0,*,2024年3月
,ﾜｶﾔﾏ       ｺﾞﾎﾞｳ,,,,,,,,,2024年3月
2024/1/17,ＥＴＣカード売上,ETC,1回払い,1270,0,1270,1270,0,*,2024年3月
,ｶﾜﾍﾞ       ﾜｶﾔﾏ,,,,,,,,,2024年3月
2024/1/15,ＥＴＣカード売上,ETC,1回払い,1270,0,1270,1270,0,*,2024年3月
,ｶﾜﾍﾞ       ﾜｶﾔﾏ,,,,,,,,,2024年3月
2024/1/15,ＥＴＣカード売上,ETC,1回払い,1270,0,1270,1270,0,*,2024年3月
,ﾜｶﾔﾏ       ｶﾜﾍﾞ,,,,,,,,,2024年3月
2024/1/14,ＥＴＣカード売上,ETC,1回払い,1010,0,1010,1010,0,*,2024年3月
,ｺﾞﾎﾞｳ      ﾜｶﾔﾏ,,,,,,,,,2024年3月
2024/1/14,ＥＴＣカード売上,ETC,1回払い,890,0,890,890,0,*,2024年3月
,ﾜｶﾔﾏ       ｶﾜﾍﾞ,,,,,,,,,2024年3月
2024/1/13,ＥＴＣカード売上,ETC,1回払い,1010,0,1010,1010,0,*,2024年3月
,ｺﾞﾎﾞｳ      ﾜｶﾔﾏ,,,,,,,,,2024年3月
2024/1/13,ＥＴＣカード売上,ETC,1回払い,890,0,890,890,0,*,2024年3月
,ﾜｶﾔﾏ       ｶﾜﾍﾞ,,,,,,,,,2024年3月
2024/1/11,ＥＴＣカード売上,ETC,1回払い,1270,0,1270,1270,0,*,2024年3月
,ﾜｶﾔﾏ       ｶﾜﾍﾞ,,,,,,,,,2024年3月
2024/1/11,ＥＴＣカード売上,ETC,1回払い,1430,0,1430,1430,0,*,2024年3月
,ｺﾞﾎﾞｳ      ﾜｶﾔﾏ,,,,,,,,,2024年3月
2024/3/31,ﾜｶﾔﾏｼﾐﾝｾｲｷﾖｳ ﾃﾝﾎ,家族,1回払い,2147,0,2147,2147,0,*,2024年4月
